Date-Time,ADM,CAG,COKE,GIS,HRL,HSY,PEP,PPC,TSN,VMI
1999-11-01,11.9,25.81,52.0,85.88,43.13,52.13,33.56,8.56,15.75,17.34
1999-11-02,12.15,25.88,52.0,84.25,42.81,52.63,33.69,8.32,15.88,17.25
1999-11-03,11.89,25.19,52.0,84.63,43.0,51.25,34.25,8.0,16.25,17.0
1999-11-04,11.7,24.31,51.0,83.31,41.88,50.25,33.0,8.04,16.38,17.12
1999-11-05,11.64,24.25,50.69,82.69,43.56,50.25,33.81,8.08,16.69,17.38
1999-11-08,11.83,24.63,50.63,83.38,43.25,50.56,33.69,7.56,16.5,17.25
1999-11-09,11.7,23.94,50.06,41.19,41.5,49.56,32.75,7.44,16.44,17.38
1999-11-10,11.95,23.75,50.47,41.25,41.88,49.25,32.69,7.4,16.88,17.31
1999-11-11,12.07,23.19,50.75,41.06,41.75,48.75,32.75,7.6,17.25,17.31
1999-11-12,12.63,24.44,50.06,40.88,41.63,48.94,33.13,7.48,17.44,17.5
1999-11-15,12.63,24.13,50.5,40.5,41.88,48.81,32.56,7.32,17.44,17.69
1999-11-16,13.01,24.88,50.13,40.75,42.5,49.94,33.75,7.48,17.25,17.62
1999-11-17,14.07,25.63,49.75,40.31,42.38,51.63,34.13,8.12,17.44,17.75
1999-11-18,13.69,25.81,48.38,39.06,42.31,50.44,34.56,8.08,18.0,17.62
1999-11-19,13.69,25.56,49.0,39.19,41.44,50.0,34.5,7.56,17.56,17.25
1999-11-22,13.32,24.56,50.13,38.71,41.06,49.56,36.31,7.6,17.5,17.62
1999-11-23,12.82,24.44,50.19,38.38,40.44,48.88,36.06,7.52,17.63,16.62
1999-11-24,12.88,24.31,50.88,38.06,43.06,50.19,35.19,7.24,17.5,16.94
1999-11-26,12.63,23.88,50.13,37.88,42.56,49.81,34.88,7.32,17.63,17.12
1999-11-29,12.51,23.94,51.0,38.0,43.31,49.06,34.69,7.4,17.25,17.25
1999-11-30,12.32,24.13,51.25,37.69,44.56,49.13,34.56,7.48,17.38,17.75
1999-12-01,12.07,23.5,51.0,37.69,44.19,49.63,34.48,7.48,17.5,17.38
1999-12-02,12.51,23.25,51.0,37.75,43.88,50.5,36.69,8.0,17.63,17.44
1999-12-03,12.39,23.56,51.25,37.94,43.63,53.31,37.13,8.0,17.31,17.25
1999-12-06,12.07,23.06,49.75,37.38,42.25,51.94,36.88,7.32,17.19,17.38
1999-12-07,13.01,22.88,50.38,37.0,43.81,51.06,36.94,7.32,17.19,16.94
1999-12-08,12.88,22.5,50.19,35.88,43.31,51.13,37.01,7.4,17.06,17.25
1999-12-09,13.01,22.31,49.0,35.31,42.0,51.25,35.94,7.24,17.5,16.69
1999-12-10,12.95,22.0,49.75,34.81,42.38,51.0,36.94,7.44,17.0,16.31
1999-12-13,12.95,21.88,49.5,34.13,41.75,50.25,35.31,7.04,16.68,16.56
1999-12-14,13.01,21.75,48.0,33.63,41.06,49.06,35.13,7.08,17.13,16.0
1999-12-15,12.76,22.56,47.88,34.69,42.44,48.25,34.69,7.2,16.56,15.5
1999-12-16,12.39,21.5,46.0,32.75,42.25,48.0,34.0,7.16,16.5,15.38
1999-12-17,12.45,21.13,46.0,33.69,41.0,48.31,35.0,7.2,16.69,14.62
1999-12-20,12.32,21.69,45.81,33.88,40.31,50.06,35.41,7.2,16.56,13.12
1999-12-21,11.7,20.88,45.5,33.69,40.5,50.38,34.88,7.12,16.44,15.75
1999-12-22,12.01,21.25,46.88,33.06,40.94,49.44,35.06,7.12,16.94,15.75
1999-12-23,12.14,21.44,46.5,33.88,41.19,49.44,35.44,7.12,16.94,15.62
1999-12-27,12.01,22.56,47.31,34.44,40.88,50.13,36.44,7.56,16.81,14.78
1999-12-28,11.89,22.13,47.63,34.19,40.94,47.81,36.63,8.04,16.0,15.06
1999-12-29,11.83,22.19,49.81,34.63,41.0,46.31,35.56,8.32,16.25,15.19
1999-12-30,12.07,22.69,48.0,35.31,41.13,47.69,35.5,8.28,16.31,15.5
1999-12-31,12.07,22.69,47.38,35.75,40.63,47.44,35.25,8.2,16.25,16.06
2000-01-03,12.0,22.88,48.38,34.44,40.25,46.38,36.88,8.08,16.06,16.62
2000-01-04,11.88,22.44,49.34,33.81,39.69,44.63,35.94,7.48,16.0,16.5
