Date-Time,DIA,ONEQ,SPY,VOO
1999-11-01,106.5,,135.5625,
1999-11-02,105.7,,134.5937,
1999-11-03,106.2,,135.5,
1999-11-04,106.6,,136.5312,
1999-11-05,107.5,,137.875,
1999-11-08,107.4,,138.0,
1999-11-09,106.3,,136.7031,
1999-11-10,106.0,,137.7187,
1999-11-11,106.1,,138.5,
1999-11-12,108.1,,139.75,
1999-11-15,107.8,,140.0781,
1999-11-16,109.9,,141.25,
1999-11-17,109.2,,141.625,
1999-11-18,110.5,,142.625,
1999-11-19,110.0,,142.5,
1999-11-22,111.1,,142.4687,
1999-11-23,110.1,,141.2187,
1999-11-24,110.1,,141.9687,
1999-11-26,109.4,,141.4375,
1999-11-29,109.5,,140.9375,
1999-11-30,108.7,,139.2812,
1999-12-01,110.1,,140.4062,
1999-12-02,110.6,,141.25,
1999-12-03,113.0,,143.8437,
1999-12-06,112.3,,142.7812,
1999-12-07,111.2,,141.625,
1999-12-08,110.5,,140.7187,
1999-12-09,111.4,,141.4062,
1999-12-10,112.5,,141.875,
1999-12-13,112.2,,142.125,
1999-12-14,111.8,,140.75,
1999-12-15,112.3,,141.5,
1999-12-16,112.4,,142.125,
1999-12-17,112.8,,142.6875,
1999-12-20,111.4,,141.6562,
1999-12-21,112.1,,143.8125,
1999-12-22,112.2,,144.1875,
1999-12-23,114.5,,146.4843,
1999-12-27,114.1,,146.2812,
1999-12-28,115.1,,146.1875,
1999-12-29,114.9,,146.8125,
1999-12-30,114.5,,146.6406,
1999-12-31,115.2,,146.875,
2000-01-03,113.5,,145.4375,
2000-01-04,109.8,,139.75,
2000-01-05,111.8,,140.0,
2000-01-06,111.8,,137.75,
2000-01-07,115.5,,145.75,
2000-01-10,116.0,,146.25,
2000-01-11,115.1,,144.5,
2000-01-12,115.4,,143.0625,
2000-01-13,115.9,,145.0,
2000-01-14,117.5,,146.9687,
2000-01-18,115.7,,145.8125,
2000-01-19,115.6,,147.0,
2000-01-20,113.7,,144.75,
2000-01-21,112.8,,144.4375,
2000-01-24,110.0,,140.3437,
2000-01-25,110.3,,141.9375,
2000-01-26,110.5,,140.8125,
2000-01-27,110.5,,140.25,
2000-01-28,107.4,,135.875,
2000-01-31,109.5,,139.5625,
2000-02-01,110.3,,140.9375,
2000-02-02,109.7,,141.0625,
2000-02-03,110.5,,143.1875,
2000-02-04,109.8,,142.5937,
2000-02-07,108.8,,142.375,
2000-02-08,109.3,,144.3125,
2000-02-09,106.9,,141.2812,
2000-02-10,107.0,,141.5625,
2000-02-11,104.5,,138.6875,
2000-02-14,105.5,,139.5,
2000-02-15,107.4,,141.0781,
2000-02-16,106.0,,139.0,
2000-02-17,104.8,,138.2812,
2000-02-18,102.3,,135.3125,
2000-02-22,102.8,,134.9687,
2000-02-23,102.3,,136.5625,
2000-02-24,102.0,,133.8125,
