Date-Time,AGCO,ALG,CAT,CNHI,DE,SAP
1999-11-01,10.88,8.75,54.63,,36.06,36.31
1999-11-02,10.69,8.88,56.06,,36.69,36.38
1999-11-03,11.0,9.19,56.63,,38.56,35.94
1999-11-04,11.38,9.31,54.56,,38.56,35.0
1999-11-05,12.06,9.5,54.75,,39.06,35.38
1999-11-08,11.62,9.5,54.06,,39.13,35.94
1999-11-09,11.94,9.69,53.88,,39.13,35.56
1999-11-10,11.19,9.75,53.75,,39.25,36.5
1999-11-11,11.12,9.62,55.0,,39.31,37.81
1999-11-12,11.06,9.75,55.0,,39.44,37.81
1999-11-15,11.81,10.0,55.56,,41.0,37.31
1999-11-16,11.88,10.25,56.81,,40.19,38.19
1999-11-17,11.88,9.88,55.38,,39.75,37.25
1999-11-18,12.25,9.62,55.94,,40.0,37.0
1999-11-19,11.75,9.81,49.19,,38.13,37.0
1999-11-22,12.25,9.88,50.25,,39.0,35.75
1999-11-23,12.19,9.75,50.19,,41.25,34.94
1999-11-24,12.56,9.88,48.56,,43.13,34.88
1999-11-26,12.5,9.88,48.13,,41.94,35.25
1999-11-29,12.44,10.0,46.19,,41.0,34.31
1999-11-30,12.56,10.0,46.38,,42.94,33.56
1999-12-01,13.0,10.0,46.94,,42.25,33.12
1999-12-02,13.38,10.0,47.5,,43.0,35.19
1999-12-03,13.75,9.88,48.27,,43.0,37.94
1999-12-06,14.12,9.75,47.63,,41.88,41.0
1999-12-07,13.12,9.75,45.69,,41.13,41.38
1999-12-08,12.75,9.0,45.13,,41.81,41.12
1999-12-09,12.69,9.25,45.81,,42.13,41.5
1999-12-10,12.75,9.38,46.69,,42.0,46.25
1999-12-13,12.94,9.0,46.32,,42.71,53.75
1999-12-14,12.94,8.88,46.13,,42.56,53.0
1999-12-15,13.12,8.81,46.52,,42.88,50.69
1999-12-16,12.75,9.25,47.13,,42.75,50.31
1999-12-17,12.19,9.12,44.94,,41.44,51.5
1999-12-20,13.06,9.19,45.13,,40.88,52.25
1999-12-21,13.31,9.5,44.38,,40.31,53.62
1999-12-22,13.25,9.38,43.38,,40.13,50.81
1999-12-23,13.56,9.5,44.81,,40.13,50.44
1999-12-27,13.5,9.62,46.44,,41.0,49.75
1999-12-28,13.44,9.88,47.56,,41.88,49.88
1999-12-29,13.12,9.88,46.5,,42.88,50.81
1999-12-30,13.06,10.06,46.0,,43.19,52.25
1999-12-31,13.44,10.25,47.06,,43.38,52.06
2000-01-03,12.25,10.12,48.63,,42.88,51.31
2000-01-04,12.56,10.06,48.0,,42.81,46.75
2000-01-05,12.75,10.06,49.81,,44.25,45.06
2000-01-06,13.69,10.5,51.63,,46.06,44.88
2000-01-07,13.5,10.38,53.31,,46.0,60.0
2000-01-10,13.06,10.62,51.56,,46.94,59.94
2000-01-11,12.38,10.62,50.75,,46.94,58.06
2000-01-12,12.56,10.5,51.63,,46.06,60.5
2000-01-13,12.31,10.62,52.19,,46.25,63.0
2000-01-14,13.5,10.56,51.94,,48.13,62.5
2000-01-18,13.88,10.62,49.94,,47.13,61.0
2000-01-19,13.62,10.69,49.31,,46.38,60.81
2000-01-20,12.94,10.94,47.13,,45.56,62.0
2000-01-21,12.81,10.88,47.38,,44.19,61.5
