Date-Time,CMG,DPZ,DRI,MCD,QSR,SBUX,TSCO,WEN,YUM
1999-11-01,,,18.81,41.69,,27.06,20.0,19.81,40.56
1999-11-02,,,19.13,41.25,,27.06,19.75,19.88,39.94
1999-11-03,,,19.19,41.94,,26.63,20.88,19.94,39.25
1999-11-04,,,19.75,45.19,,26.56,19.88,19.94,39.25
1999-11-05,,,19.69,46.5,,28.75,19.0,19.88,40.44
1999-11-08,,,20.25,47.0,,28.94,19.06,19.88,40.56
1999-11-09,,,19.31,46.38,,29.06,17.88,19.75,41.63
1999-11-10,,,19.38,46.06,,28.31,18.0,19.94,43.56
1999-11-11,,,19.5,47.0,,28.31,18.19,19.88,44.19
1999-11-12,,,19.69,48.38,,28.25,18.0,19.88,43.13
1999-11-15,,,19.88,46.88,,28.19,19.5,19.94,45.13
1999-11-16,,,19.75,46.19,,28.38,19.25,19.88,42.75
1999-11-17,,,19.38,46.13,,28.88,18.56,19.81,42.31
1999-11-18,,,18.81,47.0,,30.13,18.38,19.94,43.13
1999-11-19,,,18.0,47.38,,28.38,17.88,19.88,42.5
1999-11-22,,,18.09,46.91,,27.75,17.44,19.88,41.81
1999-11-23,,,17.56,46.69,,27.0,17.19,19.56,41.13
1999-11-24,,,17.19,45.38,,27.5,17.19,19.44,40.13
1999-11-26,,,17.13,44.56,,26.75,17.25,19.44,40.19
1999-11-29,,,17.88,45.5,,26.69,17.25,19.25,40.5
1999-11-30,,,17.81,45.13,,26.56,16.94,19.44,41.5
1999-12-01,,,17.88,46.02,,26.56,16.88,19.19,40.69
1999-12-02,,,17.31,45.19,,27.69,15.31,18.88,40.25
1999-12-03,,,17.94,45.88,,27.81,15.75,18.88,40.0
1999-12-06,,,17.63,46.06,,26.94,15.25,18.62,40.06
1999-12-07,,,17.44,44.69,,27.06,13.81,18.56,40.25
1999-12-08,,,17.25,44.56,,25.81,13.88,18.44,40.5
1999-12-09,,,16.56,44.64,,24.06,14.0,17.81,40.63
1999-12-10,,,16.5,43.25,,25.31,14.25,17.69,40.13
1999-12-13,,,16.31,42.0,,25.31,14.38,17.56,39.06
1999-12-14,,,16.5,41.25,,24.75,14.25,17.56,39.81
1999-12-15,,,16.38,41.81,,25.25,13.84,17.94,39.5
1999-12-16,,,15.94,41.81,,25.25,14.25,17.88,38.88
1999-12-17,,,17.13,41.25,,26.13,14.13,18.0,39.44
1999-12-20,,,18.0,42.3,,26.0,14.31,17.88,38.88
1999-12-21,,,17.19,41.63,,25.69,14.25,17.56,37.69
1999-12-22,,,17.31,41.06,,25.5,14.31,17.75,38.63
1999-12-23,,,17.56,40.5,,25.25,14.63,18.12,37.94
1999-12-27,,,17.81,40.81,,24.88,14.88,18.19,38.63
1999-12-28,,,17.88,40.63,,25.19,14.0,18.44,38.25
1999-12-29,,,17.56,40.19,,24.69,15.25,18.44,38.13
1999-12-30,,,17.75,39.81,,24.13,15.75,18.44,38.44
1999-12-31,,,18.13,40.31,,24.25,16.0,18.38,38.63
2000-01-03,,,17.31,39.63,,24.66,15.88,18.5,37.31
2000-01-04,,,17.19,38.81,,23.88,15.53,19.0,36.56
2000-01-05,,,17.81,39.63,,23.94,15.63,19.44,36.81
2000-01-06,,,17.63,38.88,,25.06,15.38,19.38,36.44
2000-01-07,,,17.38,39.88,,24.94,15.75,19.94,35.63
2000-01-10,,,17.5,40.06,,26.0,15.0,19.81,37.06
2000-01-11,,,18.19,41.0,,25.25,15.13,19.0,36.81
2000-01-12,,,17.56,42.75,,25.31,16.0,19.0,36.44
2000-01-13,,,18.63,42.31,,27.13,15.75,18.62,37.0
2000-01-14,,,18.88,42.61,,26.44,16.25,18.44,36.0
2000-01-18,,,18.63,41.5,,26.06,16.06,18.25,34.94
2000-01-19,,,18.31,42.38,,25.5,15.34,17.81,33.63
2000-01-20,,,17.63,42.56,,25.06,15.75,17.62,31.81
2000-01-21,,,17.56,41.06,,24.97,15.25,17.25,31.88
2000-01-24,,,17.13,39.5,,24.56,14.81,17.38,31.19
2000-01-25,,,16.63,39.81,,26.0,14.63,17.19,30.38
2000-01-26,,,16.56,35.75,,29.0,15.0,17.31,30.06
2000-01-27,,,16.5,37.63,,28.88,17.06,17.38,30.13
2000-01-28,,,15.75,36.75,,29.81,16.5,17.12,28.88
2000-01-31,,,15.88,37.38,,32.0,18.0,17.38,28.63
2000-02-01,,,15.38,36.63,,32.31,17.63,17.44,30.75
2000-02-02,,,15.81,35.5,,31.75,16.13,18.06,28.94
2000-02-03,,,16.19,35.0,,31.44,15.88,18.31,29.69
2000-02-04,,,16.75,35.12,,34.38,16.25,18.12,29.63
2000-02-07,,,16.06,34.94,,34.25,17.13,17.94,29.44
2000-02-08,,,16.38,36.31,,35.0,17.19,17.75,29.88
2000-02-09,,,15.81,35.88,,34.5,17.13,18.12,30.0
2000-02-10,,,15.88,35.5,,32.0,17.5,18.38,28.5
2000-02-11,,,15.56,34.94,,32.88,17.75,18.31,27.94
2000-02-14,,,15.13,33.88,,33.94,16.75,18.19,28.06
2000-02-15,,,15.38,33.75,,34.63,16.63,18.19,28.38
2000-02-16,,,14.69,33.38,,34.19,16.72,18.12,27.94
2000-02-17,,,14.75,33.75,,34.63,16.75,17.88,29.38
2000-02-18,,,14.44,32.5,,33.13,16.5,18.0,28.0
2000-02-22,,,14.38,32.31,,33.19,16.5,18.0,27.0
2000-02-23,,,14.13,32.63,,34.88,16.25,17.62,26.81
2000-02-24,,,13.69,31.38,,35.06,16.38,17.69,26.0
2000-02-25,,,13.56,31.0,,33.75,16.88,17.62,25.88
2000-02-28,,,13.5,31.13,,34.06,17.38,18.75,25.69
2000-02-29,,,13.19,31.75,,35.13,18.0,18.94,26.63
2000-03-01,,,13.63,31.25,,34.75,18.88,22.0,28.19
2000-03-02,,,13.44,30.88,,33.25,18.0,20.25,27.69
2000-03-03,,,13.56,32.31,,37.19,17.75,20.06,26.13
2000-03-06,,,13.56,31.56,,35.88,18.25,20.06,27.69
2000-03-07,,,12.63,29.88,,34.13,17.56,19.94,26.44
2000-03-08,,,12.56,30.75,,33.88,17.75,20.75,26.44
2000-03-09,,,12.81,32.0,,36.13,17.38,20.0,27.94
2000-03-10,,,12.94,31.75,,35.63,17.75,20.0,27.75
2000-03-13,,,12.81,32.44,,34.75,18.06,20.12,27.5
2000-03-14,,,12.81,30.5,,33.44,17.13,20.12,26.5
2000-03-15,,,13.56,32.5,,35.19,18.0,20.62,28.5
2000-03-16,,,14.25,34.06,,38.38,19.31,20.25,32.88
2000-03-17,,,13.94,33.81,,37.06,18.75,20.31,31.25
2000-03-20,,,14.25,34.56,,35.19,19.25,20.0,30.13
2000-03-21,,,14.56,35.25,,39.0,19.75,20.12,30.69
2000-03-22,,,14.38,35.25,,39.13,20.0,20.19,29.19
2000-03-23,,,14.69,35.19,,39.38,20.44,20.12,29.19
2000-03-24,,,15.13,34.81,,38.62,19.38,20.06,29.81
2000-03-27,,,15.25,34.75,,39.13,19.38,20.12,29.69
2000-03-28,,,16.5,35.13,,37.94,19.69,19.88,29.5
2000-03-29,,,17.19,36.81,,39.69,19.5,20.25,29.0
2000-03-30,,,17.63,37.63,,39.75,20.0,20.5,31.31
2000-03-31,,,17.81,37.38,,44.81,20.5,20.0,31.06
2000-04-03,,,17.75,38.5,,41.44,20.5,20.75,30.31
2000-04-04,,,18.25,38.53,,43.44,20.56,20.0,31.19
2000-04-05,,,18.69,38.56,,39.56,20.63,20.0,32.25
2000-04-06,,,18.13,37.0,,37.56,20.75,20.25,31.56
2000-04-07,,,18.0,37.0,,40.06,21.38,20.19,31.63
2000-04-10,,,18.5,36.38,,36.63,20.56,20.06,31.56
2000-04-11,,,18.56,37.69,,37.94,21.75,19.94,32.5
2000-04-12,,,18.81,36.31,,37.63,21.38,19.5,32.88
2000-04-13,,,18.06,34.13,,39.83,19.75,19.56,31.75
2000-04-14,,,17.31,33.56,,35.19,19.75,19.62,30.5
2000-04-17,,,17.56,33.69,,36.13,19.0,19.06,30.31
2000-04-18,,,17.44,32.5,,37.44,20.0,19.0,30.25
2000-04-19,,,17.88,33.06,,37.25,19.38,19.19,29.63
2000-04-20,,,19.0,35.81,,37.44,19.5,19.12,32.06
2000-04-24,,,18.88,39.0,,39.94,19.13,19.31,33.06
2000-04-25,,,19.25,38.75,,38.19,19.5,20.19,33.25
2000-04-26,,,19.25,38.88,,37.13,20.0,20.31,34.44
2000-04-27,,,18.63,38.81,,37.06,19.94,20.31,35.56
